date,description,amount,currency,labeled_category
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100278,$1460.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1279 MOUNTAIN VIEW CA,$19.47,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100280,$79.80,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1281 PALO ALTO CA,$10.05,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1282 SUNNYVALE CA,$82.58,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100283 9:1,$43.67,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100284,$99.64,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100285,$11.40,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1286 CUPERTINO CA,$52.24,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100287,$16.04,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1288 SAN JOSE CA REF 100288,$10.16,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100289,$20.74,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100290,$1120.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1291 MOUNTAIN VIEW CA,$29.43,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100292,$93.24,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1293 PALO ALTO CA,$22.65,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1294 SUNNYVALE CA,$95.66,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100295 21:25,$55.55,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100296,$115.36,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100297,$21.96,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1298 CUPERTINO CA,$67.12,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100299,$27.08,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1300 SAN JOSE CA REF 100300,$19.40,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100301,$8.91,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100302,$1460.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1303 MOUNTAIN VIEW CA,$39.39,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100304,$39.48,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1305 PALO ALTO CA,$35.25,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1306 SUNNYVALE CA,$108.74,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100307 9:49,$17.93,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100308,$131.08,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100309,$32.52,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1310 CUPERTINO CA,$82.00,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100311,$38.12,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1312 SAN JOSE CA REF 100312,$28.64,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100313,$19.83,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100314,$1120.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1315 MOUNTAIN VIEW CA,$12.00,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100316,$52.92,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1317 PALO ALTO CA,$47.85,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1318 SUNNYVALE CA,$121.82,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100319 21:13,$29.81,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100320,$42.00,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100321,$12.28,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1322 CUPERTINO CA,$96.88,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100323,$49.16,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1324 SAN JOSE CA REF 100324,$7.08,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100325,$8.00,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100326,$1460.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1327 MOUNTAIN VIEW CA,$21.96,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100328,$66.36,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1329 PALO ALTO CA,$60.45,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1330 SUNNYVALE CA,$15.00,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100331 9:37,$41.69,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100332,$57.72,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100333,$22.84,USD,Transport
2026-11-27,CARD 11/27 WHOLE FOODS MARKET 1334 CUPERTINO CA,$111.76,USD,Food
2026-12-28,POS 12/28 UNKNOWN MERCHANT ONLINE REF 100335,$9.60,USD,Uncategorized
2026-01-01,CARD 1/1 STARBUCKS #1336 SAN JOSE CA REF 100336,$16.32,USD,Food
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100337,$18.92,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100338,$1120.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1339 MOUNTAIN VIEW CA,$31.92,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100340,$79.80,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1341 PALO ALTO CA,$73.05,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1342 SUNNYVALE CA,$28.08,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100343 21:1,$53.57,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100344,$73.44,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100345,$33.40,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1346 CUPERTINO CA,$126.64,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100347,$20.64,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1348 SAN JOSE CA REF 100348,$25.56,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100349,$29.84,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100350,$1460.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1351 MOUNTAIN VIEW CA,$41.88,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100352,$93.24,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1353 PALO ALTO CA,$12.15,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1354 SUNNYVALE CA,$41.16,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100355 9:25,$15.95,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100356,$89.16,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100357,$13.16,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1358 CUPERTINO CA,$141.52,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100359,$31.68,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1360 SAN JOSE CA REF 100360,$4.00,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100361,$18.01,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100362,$1120.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1363 MOUNTAIN VIEW CA,$14.49,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100364,$39.48,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1365 PALO ALTO CA,$24.75,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1366 SUNNYVALE CA,$54.24,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100367 21:49,$27.83,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100368,$104.88,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100369,$23.72,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1370 CUPERTINO CA,$156.40,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100371,$42.72,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1372 SAN JOSE CA REF 100372,$13.24,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100373,$28.93,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100374,$1460.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1375 MOUNTAIN VIEW CA,$24.45,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100376,$52.92,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1377 PALO ALTO CA,$37.35,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1378 SUNNYVALE CA,$67.32,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100379 9:13,$39.71,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100380,$120.60,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100381,$34.28,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1382 CUPERTINO CA,$171.28,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100383,$53.76,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1384 SAN JOSE CA REF 100384,$22.48,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100385,$17.10,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100386,$1120.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1387 MOUNTAIN VIEW CA,$34.41,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100388,$66.36,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1389 PALO ALTO CA,$49.95,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1390 SUNNYVALE CA,$80.40,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100391 21:37,$51.59,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100392,$136.32,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100393,$14.04,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1394 CUPERTINO CA,$24.96,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100395,$14.20,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1396 SAN JOSE CA REF 100396,$31.72,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100397,$28.02,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100398,$1460.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1399 MOUNTAIN VIEW CA,$44.37,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100400,$79.80,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1401 PALO ALTO CA,$62.55,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1402 SUNNYVALE CA,$93.48,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100403 9:1,$13.97,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100404,$47.24,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100405,$24.60,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1406 CUPERTINO CA,$39.84,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100407,$25.24,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1408 SAN JOSE CA REF 100408,$10.16,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100409,$16.19,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100410,$1120.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1411 MOUNTAIN VIEW CA,$16.98,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100412,$93.24,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1413 PALO ALTO CA,$75.15,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1414 SUNNYVALE CA,$106.56,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100415 21:25,$25.85,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100416,$62.96,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100417,$35.16,USD,Transport
2026-11-27,CARD 11/27 WHOLE FOODS MARKET 1418 CUPERTINO CA,$54.72,USD,Food
2026-12-28,POS 12/28 UNKNOWN MERCHANT ONLINE REF 100419,$36.28,USD,Uncategorized
2026-01-01,CARD 1/1 STARBUCKS #1420 SAN JOSE CA REF 100420,$19.40,USD,Food
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100421,$27.11,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100422,$1460.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1423 MOUNTAIN VIEW CA,$26.94,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100424,$39.48,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1425 PALO ALTO CA,$14.25,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1426 SUNNYVALE CA,$119.64,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100427 9:49,$37.73,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100428,$78.68,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100429,$14.92,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1430 CUPERTINO CA,$69.60,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100431,$47.32,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1432 SAN JOSE CA REF 100432,$28.64,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100433,$15.28,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100434,$1120.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1435 MOUNTAIN VIEW CA,$36.90,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100436,$52.92,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1437 PALO ALTO CA,$26.85,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1438 SUNNYVALE CA,$132.72,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100439 21:13,$49.61,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100440,$94.40,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100441,$25.48,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1442 CUPERTINO CA,$84.48,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100443,$7.76,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1444 SAN JOSE CA REF 100444,$7.08,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100445,$26.20,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100446,$1460.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1447 MOUNTAIN VIEW CA,$46.86,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100448,$66.36,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1449 PALO ALTO CA,$39.45,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1450 SUNNYVALE CA,$25.90,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100451 9:37,$11.99,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100452,$110.12,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100453,$36.04,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1454 CUPERTINO CA,$99.36,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100455,$18.80,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1456 SAN JOSE CA REF 100456,$16.32,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100457,$14.37,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100458,$1120.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1459 MOUNTAIN VIEW CA,$19.47,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100460,$79.80,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1461 PALO ALTO CA,$52.05,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1462 SUNNYVALE CA,$38.98,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100463 21:1,$23.87,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100464,$125.84,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100465,$15.80,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1466 CUPERTINO CA,$114.24,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100467,$29.84,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1468 SAN JOSE CA REF 100468,$25.56,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100469,$25.29,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100470,$1460.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1471 MOUNTAIN VIEW CA,$29.43,USD,Transport
2026-05-25,ONLINE WATER UTILITY AUTOPAY ACCT 100472,$93.24,USD,Utilities
2026-06-26,CARD 6/26 CVS PHARMACY 1473 PALO ALTO CA,$64.65,USD,Healthcare
2026-07-27,CARD 7/27 TARGET T-1474 SUNNYVALE CA,$52.06,USD,Misc
2026-08-28,POS 8/28 DOORDASH ORDER 100475 9:25,$35.75,USD,Food
2026-09-01,ACH PGANDE ELECTRIC BILL ACCT 100476,$141.56,USD,Utilities
2026-10-02,CARD 10/2 UBER TRIP HELP.UBER.COM REF 100477,$26.36,USD,Transport
2026-11-03,CARD 11/3 WHOLE FOODS MARKET 1478 CUPERTINO CA,$129.12,USD,Food
2026-12-04,POS 12/4 UNKNOWN MERCHANT ONLINE REF 100479,$40.88,USD,Uncategorized
2026-01-05,CARD 1/5 STARBUCKS #1480 SAN JOSE CA REF 100480,$4.00,USD,Food
2026-02-06,DEBIT 2/6 NETFLIX.COM MONTHLY REF 100481,$13.46,USD,Luxuries
2026-03-07,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100482,$1120.00,USD,Rent
2026-04-08,CARD 4/8 SHELL OIL 1483 MOUNTAIN VIEW CA,$39.39,USD,Transport
2026-05-09,ONLINE WATER UTILITY AUTOPAY ACCT 100484,$39.48,USD,Utilities
2026-06-10,CARD 6/10 CVS PHARMACY 1485 PALO ALTO CA,$77.25,USD,Healthcare
2026-07-11,CARD 7/11 TARGET T-1486 SUNNYVALE CA,$65.14,USD,Misc
2026-08-12,POS 8/12 DOORDASH ORDER 100487 21:49,$47.63,USD,Food
2026-09-13,ACH PGANDE ELECTRIC BILL ACCT 100488,$52.48,USD,Utilities
2026-10-14,CARD 10/14 UBER TRIP HELP.UBER.COM REF 100489,$36.92,USD,Transport
2026-11-15,CARD 11/15 WHOLE FOODS MARKET 1490 CUPERTINO CA,$144.00,USD,Food
2026-12-16,POS 12/16 UNKNOWN MERCHANT ONLINE REF 100491,$51.92,USD,Uncategorized
2026-01-17,CARD 1/17 STARBUCKS #1492 SAN JOSE CA REF 100492,$13.24,USD,Food
2026-02-18,DEBIT 2/18 NETFLIX.COM MONTHLY REF 100493,$24.38,USD,Luxuries
2026-03-19,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100494,$1460.00,USD,Rent
2026-04-20,CARD 4/20 SHELL OIL 1495 MOUNTAIN VIEW CA,$12.00,USD,Transport
2026-05-21,ONLINE WATER UTILITY AUTOPAY ACCT 100496,$52.92,USD,Utilities
2026-06-22,CARD 6/22 CVS PHARMACY 1497 PALO ALTO CA,$16.35,USD,Healthcare
2026-07-23,CARD 7/23 TARGET T-1498 SUNNYVALE CA,$78.22,USD,Misc
2026-08-24,POS 8/24 DOORDASH ORDER 100499 9:13,$59.51,USD,Food
2026-09-25,ACH PGANDE ELECTRIC BILL ACCT 100500,$68.20,USD,Utilities
2026-10-26,CARD 10/26 UBER TRIP HELP.UBER.COM REF 100501,$16.68,USD,Transport
2026-11-27,CARD 11/27 WHOLE FOODS MARKET 1502 CUPERTINO CA,$158.88,USD,Food
2026-12-28,POS 12/28 UNKNOWN MERCHANT ONLINE REF 100503,$12.36,USD,Uncategorized
2026-01-01,CARD 1/1 STARBUCKS #1504 SAN JOSE CA REF 100504,$22.48,USD,Food
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100505,$12.55,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100506,$1120.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1507 MOUNTAIN VIEW CA,$21.96,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100508,$66.36,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1509 PALO ALTO CA,$28.95,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1510 SUNNYVALE CA,$91.30,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100511 21:37,$21.89,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100512,$83.92,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100513,$27.24,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1514 CUPERTINO CA,$173.76,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100515,$23.40,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1516 SAN JOSE CA REF 100516,$31.72,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100517,$23.47,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100518,$1460.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1519 MOUNTAIN VIEW CA,$31.92,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100520,$79.80,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1521 PALO ALTO CA,$41.55,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1522 SUNNYVALE CA,$104.38,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100523 9:1,$33.77,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100524,$99.64,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100525,$7.00,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1526 CUPERTINO CA,$27.44,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100527,$34.44,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1528 SAN JOSE CA REF 100528,$10.16,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100529,$11.64,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100530,$1120.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1531 MOUNTAIN VIEW CA,$41.88,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100532,$93.24,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1533 PALO ALTO CA,$54.15,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1534 SUNNYVALE CA,$117.46,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100535 21:25,$45.65,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100536,$115.36,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100537,$17.56,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1538 CUPERTINO CA,$42.32,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100539,$45.48,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1540 SAN JOSE CA REF 100540,$19.40,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100541,$22.56,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100542,$1460.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1543 MOUNTAIN VIEW CA,$14.49,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100544,$39.48,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1545 PALO ALTO CA,$66.75,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1546 SUNNYVALE CA,$130.54,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100547 9:49,$57.53,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100548,$131.08,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100549,$28.12,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1550 CUPERTINO CA,$57.20,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100551,$5.92,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1552 SAN JOSE CA REF 100552,$28.64,USD,Food
2026-02-22,DEBIT 2/22 NETFLIX.COM MONTHLY REF 100553,$10.73,USD,Luxuries
2026-03-23,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100554,$1120.00,USD,Rent
2026-04-24,CARD 4/24 SHELL OIL 1555 MOUNTAIN VIEW CA,$24.45,USD,Transport
